Collection,date,wrf,influent_flow_mg,influent_tss_mg_l,notes
1,2020-05-19,NO ,6.11,310,
1,2020-05-19,MI ,3.92,234,
1,2020-05-19,CC,1.63,360,
2,2020-05-26,NO ,4.93,306,
2,2020-05-26,MI ,3.66,98,
2,2020-05-26,CC,2.22,384,
3,2020-06-02,NO ,4.92,726,
3,2020-06-02,MI ,3.23,94,
3,2020-06-02,CC,2.03,1130,
4,2020-06-09,NO ,5.22,338,
4,2020-06-09,MI ,3.34,108,
4,2020-06-09,CC,1.71,200,
5,2020-06-16,NO ,4.82,418,
5,2020-06-16,MI ,3.22,240,
5,2020-06-16,CC,1.31,364,
6,2020-06-23,NO ,5.3,142,
6,2020-06-23,MI ,3.44,322,
6,2020-06-23,CC,1.56,244,
7,2020-06-30,NO ,4.95,284,
7,2020-06-30,MI ,3.02,428,
7,2020-06-30,CC,1.63,384,
8,2020-07-07,NO ,5.56,206,
8,2020-07-07,MI ,3.41,378,
8,2020-07-07,CC,1.83,269,
9,2020-07-14,NO ,4.8,397,
9,2020-07-14,MI ,2.92,220,
9,2020-07-14,CC,1.44,328,
10,2020-07-21,NO ,4.7,160,
10,2020-07-21,MI ,3.22,168,
10,2020-07-21,CC,1.81,332,
11,2020-07-28,NO ,4.77,256,
11,2020-07-28,MI ,2.97,258,
11,2020-07-28,CC,1.31,196,
12,2020-08-04,NO ,5.8,296,
12,2020-08-04,MI ,3.54,176,
12,2020-08-04,CC,1.54,260,
13,2020-08-11,NO ,5.16,319,
13,2020-08-11,MI ,3.2,104,
13,2020-08-11,CC,1.42,430,
14,2020-08-18,NO ,5.71,266,
14,2020-08-18,MI ,3.34,292,
14,2020-08-18,CC,1.67,628,
15,2020-08-25,NO ,6.36,294,
15,2020-08-25,MI ,4.05,196,
15,2020-08-25,CC,1.75,256,
16,2020-09-01,NO ,5.73,215,
16,2020-09-01,MI ,3.3,248,
16,2020-09-01,CC,1.71,444,
17,2020-09-08,NO ,4.96,250,
17,2020-09-08,MI ,3.26,212,
17,2020-09-08,CC,1.37,184,
18,2020-09-15,NO ,5.46,596,
18,2020-09-15,MI ,3.45,208,
18,2020-09-15,CC,1.51,492,
19,2020-09-22,NO ,5.42,233,
19,2020-09-22,MI ,3.64,244,
19,2020-09-22,CC,1.95,1080,
20,2020-09-29,NO ,5.55,218,
20,2020-09-29,MI ,3.71,172,
20,2020-09-29,CC,1.69,228,
21,2020-10-06,NO ,5.38,286,
21,2020-10-06,MI ,3.42,232,
21,2020-10-06,CC,1.52,420,
22,2020-10-13,NO ,5.63,454,
22,2020-10-13,MI ,3.72,484,
22,2020-10-13,CC,1.95,384,
23,2020-10-20,NO ,5.22,123,
23,2020-10-20,MI ,3.44,172,
23,2020-10-20,CC,1.55,104,
24,2020-10-27,NO ,5.24,219,
24,2020-10-27,MI ,3.54,198,
24,2020-10-27,CC,1.63,210,
25,2020-11-02,NO ,4.67,238,
25,2020-11-02,MI ,3.4,556,
25,2020-11-02,CC,1.55,208,
26,2020-11-04,NO ,4.91,367,
26,2020-11-04,MI ,3.41,164,
26,2020-11-04,CC,1.57,152,
27,2020-11-09,NO ,4.75,354,
27,2020-11-09,MI ,3.5,264,
27,2020-11-09,CC,1.6,244,
28,2020-11-11,NO ,5.56,364,
28,2020-11-11,MI ,3.8,476,
28,2020-11-11,CC,1.58,308,
29,2020-11-16,NO ,4.82,180,
29,2020-11-16,MI ,3.46,368,
29,2020-11-16,CC,1.62,164,
30,2020-11-18,NO ,5.14,236,
30,2020-11-18,MI ,3.36,364,
30,2020-11-18,CC,1.62,500,
31,2020-11-23,NO ,4.51,510,
31,2020-11-23,MI ,3.37,560,
31,2020-11-23,CC,1.67,392,
32,2020-11-25,NO ,4.32,258,
32,2020-11-25,MI ,3.32,392,
32,2020-11-25,CC,1.54,1120,
33,2020-11-30,NO ,8.72,272,
33,2020-11-30,MI ,8.52,240,
33,2020-11-30,CC,3.13,231,
34,2020-12-02,NO ,5.39,246,
34,2020-12-02,MI ,3.89,228,
34,2020-12-02,CC,2.06,188,
35,2020-12-07,NO ,4.96,320,
35,2020-12-07,MI ,3.75,163,
35,2020-12-07,CC,1.75,224,
36,2020-12-09,NO ,5.15,462,
36,2020-12-09,MI ,3.5,396,
36,2020-12-09,CC,1.71,312,
37,2020-12-14,NO ,4.8,184,
37,2020-12-14,MI ,3.63,76,
37,2020-12-14,CC,1.7,132,
38,2020-12-16,NO ,4.95,272,
38,2020-12-16,MI ,3.45,248,
38,2020-12-16,CC,1.71,1220,
39,2020-12-21,NO ,3.99,305,
39,2020-12-21,MI ,3.4,220,
39,2020-12-21,CC,1.66,112,
40,2020-12-23,NO,4.19,230,
40,2020-12-23,MI ,3.29,280,
40,2020-12-23,CC,1.62,480,
41,2020-12-28,NO ,4.23,182,
41,2020-12-28,MI ,3.59,232,
41,2020-12-28,CC,1.82,328,
42,2021-01-04,NO ,4.89,156,
42,2021-01-04,MI ,4.31,224,
42,2021-01-04,CC,2.12,148,
43,2021-01-11,NO ,4.8,246,
43,2021-01-11,MI ,3.67,196,
43,2021-01-11,CC,1.9,204,
44,2021-01-13,NO ,5.57,171,
44,2021-01-13,MI ,3.55,192,
44,2021-01-13,CC,1.85,452,
45,2021-01-19,NO ,5.39,196,
45,2021-01-19,MI ,3.6,432,
45,2021-01-19,CC,1.72,408,
46,2021-01-20,NO ,5.43,312,
46,2021-01-20,MI ,3.45,188,
46,2021-01-20,CC,1.79,280,
47,2021-01-25,NO ,5.03,156,
47,2021-01-25,MI ,3.44,488,
47,2021-01-25,CC,1.72,156,
48,2021-01-27,NO ,6.62,352,
48,2021-01-27,MI ,5.09,480,
48,2021-01-27,CC,2.31,400,
49,2021-02-01,NO ,5.62,82,
49,2021-02-01,MI ,4.14,164,
49,2021-02-01,CC,2.1,216,
50,2021-02-03,NO ,5.73,162,
50,2021-02-03,MI ,3.75,160,
50,2021-02-03,CC,2.54,460,
51,2021-02-08,NO ,4.93,196,
51,2021-02-08,MI ,3.62,492,
51,2021-02-08,CC,1.91,176,
52,2021-02-10,NO ,5.55,424,
52,2021-02-10,MI ,3.57,556,
52,2021-02-10,CC,2.02,284,
53,2021-02-15,NO ,6.3,218,
53,2021-02-15,MI ,4.39,252,
53,2021-02-15,CC,2.27,116,
54,2021-02-17,NO ,10.33,4.8,
54,2021-02-17,MI ,4.8,194,
54,2021-02-17,CC,2.53,136,
55,2021-02-22,NO ,5.26,178,
55,2021-02-22,MI ,3.93,304,
55,2021-02-22,CC,1.99,184,
56,2021-02-24,NO ,5.63,228,
56,2021-02-24,MI ,3.69,228,
56,2021-02-24,CC,1.93,308,
57,2021-03-01,NO ,6.74,207,
57,2021-03-01,MI ,3.72,232,
57,2021-03-01,CC,1.85,204,
58,2021-03-03,NO ,7.28,196,
58,2021-03-03,MI ,3.83,304,
58,2021-03-03,CC,1.84,232,
59,2021-03-08,NO ,5.01,954,
59,2021-03-08,MI ,3.48,480,
59,2021-03-08,CC,1.74,304,
60,2021-03-10,NO ,6.5,350,
60,2021-03-10,MI ,3.5,840,
60,2021-03-10,CC,1.68,84,
61,2021-03-15,NO ,5.04,360,
61,2021-03-15,MI ,3.49,164,
61,2021-03-15,CC,1.66,172,
62,2021-03-17,NO ,6.79,342,
62,2021-03-17,MI ,5.36,700,
62,2021-03-17,CC,2.46,344,
63,2021-03-22,NO ,5.16,356,
63,2021-03-22,MI ,3.77,248,
63,2021-03-22,CC,2,68,
64,2021-03-24,NO ,5.35,282,
64,2021-03-24,MI ,3.62,258,
64,2021-03-24,CC,1.8,312,
65,2021-03-29,NO ,5.53,213,
65,2021-03-29,MI ,3.97,220,
65,2021-03-29,CC,2.01,186,
66,2021-03-31,NO ,5.32,222,
66,2021-03-31,MI ,3.94,228,
66,2021-03-31,CC,1.95,292,
67,2021-04-05,NO ,4.99,176,
67,2021-04-05,MI ,3.49,200,
67,2021-04-05,CC,1.9,216,
68,2021-04-07,NO ,5.34,272,
68,2021-04-07,MI ,3.43,284,
68,2021-04-07,CC,1.79,680,
69,2021-04-12,NO ,5.4,256,
69,2021-04-12,MI ,3.68,168,
69,2021-04-12,CC,1.81,224,
70,2021-04-14,NO ,5.7,164,
70,2021-04-14,MI ,3.4,280,
70,2021-04-14,CC,1.84,505,
71,2021-04-19,NO ,5.18,206,
71,2021-04-19,MI ,3.41,212,
71,2021-04-19,CC,1.83,264,
72,2021-04-21,NO ,5.6,234,
72,2021-04-21,MI ,3.35,68,
72,2021-04-21,CC,1.74,60,
73,2021-04-26,NO ,5.76,222,
73,2021-04-26,MI ,3.46,252,
73,2021-04-26,CC,1.79,428,
74,2021-04-28,NO ,5.6,310,
74,2021-04-28,MI ,3.71,164,
74,2021-04-28,CC,1.84,192,
75,2021-05-03,NO ,6.22,352,
75,2021-05-03,MI ,4.73,244,
75,2021-05-03,CC,1.58,222,
76,2021-05-05,NO ,8.17,160,
76,2021-05-05,MI ,7.31,114,
76,2021-05-05,CC,3.52,248,
77,2021-05-10,NO ,5.25,208,
77,2021-05-10,MI ,3.71,188,
77,2021-05-10,CC,1.86,136,
78,2021-05-12,NO ,6.36,170,
78,2021-05-12,MI ,4.38,68,
78,2021-05-12,CC,2.23,375,
79,2021-05-17,NO ,4.82,346,
79,2021-05-17,MI ,3.46,204,
79,2021-05-17,CC,1.74,164,
80,2021-05-19,NO ,4.91,196,
80,2021-05-19,MI ,3.42,204,
80,2021-05-19,CC,1.71,240,
81,2021-05-24,NO ,4.68,449,
81,2021-05-24,MI ,3.19,188,
81,2021-05-24,CC,1.77,232,
82,2021-05-26,NO ,5.01,204,
82,2021-05-26,MI ,3.1,100,
82,2021-05-26,CC,1.53,260,
83,2021-06-01,NO ,3.55,390,
83,2021-06-01,MI ,3.17,212,
83,2021-06-01,CC,1.52,312,
84,2021-06-02,NO ,4.66,406,
84,2021-06-02,MI ,3.9,84,
84,2021-06-02,CC,1.56,216,
85,2021-06-07,NO ,4.82,332,
85,2021-06-07,MI ,3.25,228,
85,2021-06-07,CC,1.57,108,
86,2021-06-09,NO ,5.23,552,
86,2021-06-09,MI ,3.36,228,
86,2021-06-09,CC,1.59,580,
87,2021-06-14,NO ,4.75,164,
87,2021-06-14,MI ,3.15,136,
87,2021-06-14,CC,1.54,192,
88,2021-06-16,NO ,4.91,222,
88,2021-06-16,MI ,2.99,224,
88,2021-06-16,CC,1.61,184,
89,2021-06-21,NO ,5.13,134,
89,2021-06-21,MI ,3.37,184,
89,2021-06-21,CC,1.59,144,
90,2021-06-23,NO ,5.24,256,
90,2021-06-23,MI ,3.24,116,
90,2021-06-23,CC,1.49,500,
91,2021-06-28,NO ,4.84,212,
91,2021-06-28,MI ,3.12,184,
91,2021-06-28,CC,1.56,216,
92,2021-06-30,NO ,5.26,232,
92,2021-06-30,MI ,3.03,176,
92,2021-06-30,CC,1.66,572,End stepone data
93,2021-07-06,NO ,4.91,187,Begin CFX data
93,2021-07-06,MI ,2.9,272,
93,2021-07-06,CC,1.87,96,
94,2021-07-07,NO ,5.03,182,
94,2021-07-07,MI ,2.96,220,
94,2021-07-07,CC,1.67,278,
95,2021-07-12,NO ,4.9,260,
95,2021-07-12,MI ,3.17,82,
95,2021-07-12,CC,1.71,236,
96,2021-07-14,NO ,5.91,178,
96,2021-07-14,MI ,3.23,84,
96,2021-07-14,CC,1.73,180,
97,2021-07-19,NO ,4.88,144,
97,2021-07-19,MI ,3.25,248,
97,2021-07-19,CC,1.74,92,
98,2021-07-21,NO ,5.9,244,
98,2021-07-21,MI ,3.93,232,
98,2021-07-21,CC,1.85,336,
99,2021-07-26,NO ,5.09,364,
99,2021-07-26,MI ,3.15,196,
99,2021-07-26,CC,1.96,516,
100,2021-07-28,NO ,5.33,142,
100,2021-07-28,MI ,3.08,200,
100,2021-07-28,CC,1.52,204,
101,2021-08-02,NO ,4.89,244,
101,2021-08-02,MI ,2.98,232,
101,2021-08-02,CC,1.54,160,
102,2021-08-04,NO ,5.28,288,
102,2021-08-04,MI ,3.16,304,
102,2021-08-04,CC,1.74,160,
103,2021-08-09,NO ,5.27,114,
103,2021-08-09,MI ,3.13,260,
103,2021-08-09,CC,1.54,118,
104,2021-08-11,NO ,5.64,218,
104,2021-08-11,MI ,3.59,188,
104,2021-08-11,CC,1.52,40,
105,2021-08-16,NO ,5.78,210,
105,2021-08-16,MI ,3.45,76,
105,2021-08-16,CC,1.69,170,
106,2021-08-18,NO ,7.15,154,
106,2021-08-18,MI ,5.62,324,
106,2021-08-18,CC,2.24,176,
107,2021-08-23,NO ,7.15,154,
107,2021-08-23,MI ,5.62,324,
107,2021-08-23,CC,2.24,176,
108,2021-08-25,NO ,6.1,250,
108,2021-08-25,MI ,3.31,200,
108,2021-08-25,CC,1.73,184,
109,2021-08-30,NO ,5.56,154,
109,2021-08-30,MI ,3.27,220,
109,2021-08-30,CC,1.7,100,
110,2021-09-01,NO ,6.09,152,
110,2021-09-01,MI ,3.55,80,
110,2021-09-01,CC,1.72,208,
111,2021-09-07,NO ,5.56,154,
111,2021-09-07,MI ,3.27,220,
111,2021-09-07,CC,1.7,100,
112,2021-09-08,NO ,5.91,182,
112,2021-09-08,MI ,3.23,212,
112,2021-09-08,CC,1.71,176,
113,2021-09-13,NO ,5.82,292,
113,2021-09-13,MI ,3.25,228,
113,2021-09-13,CC,1.61,244,
114,2021-09-15,NO ,5.86,280,
114,2021-09-15,MI ,3.23,204,
114,2021-09-15,CC,1.5,484,
115,2021-09-20,NO ,5.76,142,
115,2021-09-20,MI ,3.5,284,
115,2021-09-20,CC,1.64,228,
116,2021-09-22,NO ,6.15,172,
116,2021-09-22,MI ,3.47,276,
116,2021-09-22,CC,1.64,420,
117,2021-09-27,NO ,5.22,502,
117,2021-09-27,MI ,3.25,72,
117,2021-09-27,CC,1.56,112,
118,2021-09-29,NO ,5.62,138,
118,2021-09-29,MI ,3.11,64,
118,2021-09-29,CC,1.55,156,
119,2021-10-04,NO ,5.35,278,
119,2021-10-04,MI ,3.32,256,
119,2021-10-04,CC,1.51,204,
120,2021-10-06,NO ,7.05,218,
120,2021-10-06,MI ,6.33,252,
120,2021-10-06,CC,2.46,48,
121,2021-10-11,NO ,5.49,130,
121,2021-10-11,MI ,3.9,128,
121,2021-10-11,CC,1.93,88,
122,2021-10-13,NO ,5.86,278,
122,2021-10-13,MI,3.56,144,
122,2021-10-13,CC,1.79,228,
123,2021-10-18,NO ,5.29,154,
123,2021-10-18,MI,3.47,188,
123,2021-10-18,CC,1.54,176,
124,2021-10-20,NO ,5.51,898,
124,2021-10-20,MI,3.74,252,
124,2021-10-20,CC,1.56,232,
125,2021-10-25,NO ,5.18,696,
125,2021-10-25,MI,3.48,124,
125,2021-10-25,CC,1.69,112,
126,2021-10-27,NO ,5.28,259,
126,2021-10-27,MI,3.34,220,
126,2021-10-27,CC,1.54,184,
127,2021-11-01,NO ,5.18,528,
127,2021-11-01,MI,3.8,172,
127,2021-11-01,CC,1.57,44,
128,2021-11-03,NO ,5.09,222,
128,2021-11-03,MI,3.33,180,
128,2021-11-03,CC,1.53,945,
129,2021-11-08,NO ,4.83,316,
129,2021-11-08,MI,3.37,220,
129,2021-11-08,CC,1.57,228,
130,2021-11-10,NO ,5.23,612,
130,2021-11-10,MI,3.34,280,
130,2021-11-10,CC,1.53,300,
131,2021-11-15,NO ,5.12,538,
131,2021-11-15,MI,3.37,192,
131,2021-11-15,CC,1.58,184,
132,2021-11-17,NO ,5.3,182,
132,2021-11-17,MI,3.31,292,
132,2021-11-17,CC,1.53,324,
133,2021-11-22,NO ,5,341,
133,2021-11-22,MI,3.39,64,
133,2021-11-22,CC,1.56,208,
134,2021-11-29,NO ,4.85,256,
134,2021-11-29,MI,3.31,100,
134,2021-11-29,CC,1.59,372,
135,2021-12-01,NO ,5.24,283,
135,2021-12-01,MI,3.3,146,
135,2021-12-01,CC,1.58,500,
136,2021-12-06,NO ,4.89,111,
136,2021-12-06,MI,3.34,176,
136,2021-12-06,CC,1.7,232,
137,2021-12-08,NO ,5.34,362,
137,2021-12-08,MI,3.32,66,
137,2021-12-08,CC,1.64,392,
138,2021-12-13,NO ,4.76,420,
138,2021-12-13,MI,3.23,212,
138,2021-12-13,CC,1.68,272,
139,2021-12-15,NO ,5.19,188,
139,2021-12-15,MI,3.18,148,
139,2021-12-15,CC,1.47,388,
140,2021-12-20,NO ,4.23,260,
140,2021-12-20,MI,3.14,224,
140,2021-12-20,CC,1.35,184,
141,2021-12-27,NO ,3.61,218,
141,2021-12-27,MI,2.98,148,
141,2021-12-27,CC,1.28,1000,
142,2022-01-03,NO ,7.58,254,
142,2022-01-03,MI,7.19,32,
142,2022-01-03,CC,2.55,108,
143,2022-01-05,NO ,5.19,124,
143,2022-01-05,MI,4.11,92,
143,2022-01-05,CC,2.22,108,
144,2022-01-10,NO ,5.29,404,
144,2022-01-10,MI,3.76,212,
144,2022-01-10,CC,1.83,164,
145,2022-01-12,NO ,5.28,755,
145,2022-01-12,MI,3.38,136,
145,2022-01-12,CC,1.66,278,
146,2022-01-17,NO ,5.58,160,
146,2022-01-17,MI,3.92,116,
146,2022-01-17,CC,1.82,180,
147,2022-01-19,NO ,5.56,162,
147,2022-01-19,MI,3.71,56,
147,2022-01-19,CC,1.76,332,
148,2022-01-24,NO ,5.36,98,
148,2022-01-24,MI,3.6,80,
148,2022-01-24,CC,1.86,144,
149,2022-01-26,NO ,5.46,616,
149,2022-01-26,MI,3.41,180,
149,2022-01-26,CC,1.77,172,
150,2022-01-31,NO ,5.03,72,
